feature,kind,positive_hits,positive_total,recall,local_universe_hits,local_universe_total,local_pass_rate
is_verified,single,216,216,1.0,2216,2216,1.0
bytecode_len>=500,single,215,216,0.9953703703703703,2023,2216,0.9129061371841155
opcode_diversity>=180,single,211,216,0.9768518518518519,2015,2216,0.9092960288808665
tx_count>=1,single,209,216,0.9675925925925926,1748,2216,0.7888086642599278
bytecode_len>=2000,single,206,216,0.9537037037037037,2011,2216,0.9074909747292419
tx_count>=5,single,198,216,0.9166666666666666,405,2216,0.18276173285198555
verified&tx>=5,intersection,198,216,0.9166666666666666,405,2216,0.18276173285198555
unique_callers>=2,single,197,216,0.9120370370370371,630,2216,0.2842960288808664
opcode_diversity>=200,single,195,216,0.9027777777777778,1997,2216,0.901173285198556
verified&bytecode>=2k&opcode_diversity>=200,intersection,195,216,0.9027777777777778,1997,2216,0.901173285198556
verified&tx>=5&callers>=2,intersection,193,216,0.8935185185185185,384,2216,0.17328519855595667
unique_callers>=5,single,185,216,0.8564814814814815,273,2216,0.12319494584837545
verified&callers>=5,intersection,185,216,0.8564814814814815,273,2216,0.12319494584837545
verified&tx>=5&callers>=5,intersection,185,216,0.8564814814814815,273,2216,0.12319494584837545
opcode_diversity>=220,single,181,216,0.8379629629629629,1980,2216,0.8935018050541517
verified&(traded|tvl>=1k),intersection,178,216,0.8240740740740741,2178,2216,0.9828519855595668
verified&bytecode>=2k&tx>=5&callers>=5,intersection,176,216,0.8148148148148148,254,2216,0.11462093862815885
tx_count>=20,single,175,216,0.8101851851851852,273,2216,0.12319494584837545
bytecode_len>=5000,single,171,216,0.7916666666666666,1967,2216,0.8876353790613718
verified&tx>=5&(traded|tvl>=1k),intersection,167,216,0.7731481481481481,374,2216,0.16877256317689532
opcode_diversity>=240,single,164,216,0.7592592592592593,1952,2216,0.8808664259927798
verified&callers>=5&(traded|tvl>=1k),intersection,162,216,0.75,250,2216,0.11281588447653429
avg_gas>=50k,single,161,216,0.7453703703703703,417,2216,0.18817689530685922
unique_callers>=20,single,159,216,0.7361111111111112,216,2216,0.09747292418772563
tx_count>=100,single,154,216,0.7129629629629629,210,2216,0.09476534296028881
distinct_tokens>=1,single,142,216,0.6574074074074074,2142,2216,0.9666064981949458
token_transfers>=1,single,142,216,0.6574074074074074,2142,2216,0.9666064981949458
unique_callers>=100,single,132,216,0.6111111111111112,175,2216,0.078971119133574
bytecode_len>=10000,single,124,216,0.5740740740740741,1856,2216,0.8375451263537906
is_erc20,single,121,216,0.5601851851851852,1856,2216,0.8375451263537906
verified&erc20,intersection,121,216,0.5601851851851852,1856,2216,0.8375451263537906
total_transfer_in_usd>=1k,single,121,216,0.5601851851851852,2121,2216,0.9571299638989169
verified&tvl>=1k,intersection,121,216,0.5601851851851852,2121,2216,0.9571299638989169
avg_gas>=100k,single,117,216,0.5416666666666666,316,2216,0.14259927797833935
verified&tx>=5&tvl>=1k,intersection,115,216,0.5324074074074074,322,2216,0.14530685920577618
verified&callers>=5&tvl>=1k,intersection,112,216,0.5185185185185185,200,2216,0.09025270758122744
token_transfers>=10,single,109,216,0.5046296296296297,1782,2216,0.8041516245487365
verified&traded,intersection,101,216,0.4675925925925926,116,2216,0.052346570397111915
was_traded,single,101,216,0.4675925925925926,116,2216,0.052346570397111915
tx_count>=1000,single,101,216,0.4675925925925926,136,2216,0.061371841155234655
erc20&traded&bytecode>=2k,intersection,98,216,0.4537037037037037,112,2216,0.05054151624548736
erc20&traded&opcode_diversity>=200,intersection,98,216,0.4537037037037037,112,2216,0.05054151624548736
erc20&traded,intersection,98,216,0.4537037037037037,113,2216,0.050992779783393505
total_transfer_in_usd>=10k,single,97,216,0.44907407407407407,1192,2216,0.5379061371841155
historical_dex_factories>=1,single,93,216,0.4305555555555556,93,2216,0.04196750902527076
historical_dex_pools>=1,single,93,216,0.4305555555555556,93,2216,0.04196750902527076
erc20&traded&tx>=5,intersection,93,216,0.4305555555555556,107,2216,0.04828519855595668
erc20&traded&callers>=5,intersection,91,216,0.4212962962962963,105,2216,0.047382671480144405
erc20&historical_dex_liquidity>=1k,intersection,86,216,0.39814814814814814,86,2216,0.0388086642599278
historical_dex_liquidity>=1k,single,86,216,0.39814814814814814,86,2216,0.0388086642599278
traded&historical_dex_liquidity>=1k,intersection,86,216,0.39814814814814814,86,2216,0.0388086642599278
verified&erc20&traded&historical_dex_liquidity>=1k,intersection,86,216,0.39814814814814814,86,2216,0.0388086642599278
token_transfers>=100,single,79,216,0.36574074074074076,564,2216,0.2545126353790614
historical_dex_liquidity>=10k,single,78,216,0.3611111111111111,78,2216,0.0351985559566787
erc20&tvl>=1k,intersection,61,216,0.2824074074074074,1796,2216,0.8104693140794224
distinct_tokens>=2,single,57,216,0.2638888888888889,421,2216,0.18998194945848376
total_transfer_in_usd>=100k,single,55,216,0.25462962962962965,332,2216,0.14981949458483754
traded&tvl>=1k&callers>=5,intersection,44,216,0.2037037037037037,58,2216,0.026173285198555957
traded&tvl>=1k&tx>=5,intersection,44,216,0.2037037037037037,58,2216,0.026173285198555957
traded&tvl>=1k,intersection,44,216,0.2037037037037037,59,2216,0.026624548736462094
verified&traded&tvl>=1k,intersection,44,216,0.2037037037037037,59,2216,0.026624548736462094
historical_dex_liquidity>=100k,single,43,216,0.19907407407407407,43,2216,0.0194043321299639
erc20&traded&tvl>=1k&callers>=5,intersection,42,216,0.19444444444444445,56,2216,0.02527075812274368
erc20&traded&tvl>=1k&tx>=5,intersection,42,216,0.19444444444444445,56,2216,0.02527075812274368
erc20&traded&tvl>=1k,intersection,42,216,0.19444444444444445,57,2216,0.02572202166064982
verified&erc20&traded&tvl>=1k,intersection,42,216,0.19444444444444445,57,2216,0.02572202166064982
total_transfer_in_usd>=1m,single,27,216,0.125,105,2216,0.047382671480144405
historical_dex_pools>=2,single,25,216,0.11574074074074074,25,2216,0.01128158844765343
distinct_tokens>=5,single,15,216,0.06944444444444445,38,2216,0.017148014440433214
